"10 kDa heat shock protein, mitochondrial"|drug
"10,11-dimethoxy-4-methyldibenzo[c,f]-2,7-naphthyridine-3,6-diamine"|drug
"10-{4-Dimethylamino-5-[4-Hydroxy-6-Methyl-5-(6-Methyl-5-Oxo-Tetrahydro-Pyran-2-Yloxy)-Tetrahydro-Pyrane-2-Yloxy]-6-Methyl-Tetrahydro-Pyran-2-Yloxy}-8-Ethyl-1,8,11-Trihydroxy-7,8,9,10-Tetrahydro-Naphthacene-5,12-Dione"|drug
"10-(4-Dimethylamino-5-Hydroxy-6-Methyl-Tetrahydro-Pyran-2-Yloxy)-8-Ethyl-1,8,11-Trihydroxy-7,8,9,10-Tetrahydro-Naphthacene-5,12-Dione"|drug
105AD7|drug
"10-alpha-methoxy-9,10-dihydrolysergol"|drug
"(10E,12Z)-octadecadienoic acid"|drug
10-HETE|drug
10-hydroxycamptothecin|drug
10-Hydroxyzaltoprofen|drug
10-OH-zaltoprofen|drug
"10-Propargyl-5,8-Dideazafolic Acid"|drug
"(10R)-10-Formyl-5,8,10-Trideazafolic Acid"|drug
"(10R)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one"|drug
"(10S)-10-Formyl-5,8,10-Trideazafolic Acid"|drug
"(1,10 Phenanthroline)-(Tri-Carbon Monoxide) Rhenium (I)"|drug
"1,10-Phenanthroline"|drug
"11,12-EET"|drug
"1,1,1,3,3,3-HEXAFLUORO-2-{4-[(2,2,2-TRIFLUOROETHYL)AMINO]PHENYL}PROPAN-2-OL"|drug
"1,1,1-TRIFLUORO-3-ACETAMIDO-4-PHENYL BUTAN-2-ONE(N-ACETYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)"|drug
"1,1,1-TRIFLUORO-3-((N-ACETYL)-L-LEUCYLAMIDO)-4-PHENYL-BUTAN-2-ONE(N-ACETYL-L-LEUCYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)"|drug
"1,1,1-TRIFLUORO-3-(OCTYLTHIO)ACETONE"|drug
1-{[1-(2-AMINO-3-PHENYL-PROPIONYL)-PYRROLIDINE-2-CARBONYL]-AMINO}-2-(3-CYANO-PHENYL)-ETHANEBORONIC ACID|drug
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-naphthalen-1-ylurea|drug
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-phenylurea|drug
"1-(1'-{[3-(methylsulfanyl)-2-benzothiophen-1-yl]carbonyl}spiro[1-benzofuran-3,4'-piperidin]-5-yl)methanamine"|drug
"1-[1'-(3-phenylacryloyl)spiro[1-benzofuran-3,4'-piperidin]-5-yl]methanamine"|drug
"1-(1,4-dimethyl-1,2,3,4-tetrahydroquinoxalin-6-yl)methanamine"|drug
[1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester|drug
11-beta-Hydroxyandrosterone-3-glucuronide|drug
11-beta-Hydroxylase Deficiency (CYP11B1)|drug
"1,1'-BIPHENYL-2-SULFINIC ACID"|drug
"1,1'-BIPHENYL-3,4-DIOL"|drug
11-Deoxy-Beta-Rhodomycin|drug
1-[[(1E)-2-(4-CHLOROPHENYL)ETHENYL]SULFONYL]-4-[[1-(4-PYRIDINYL)-4-PIPERIDINYL]METHYL]PIPERAZINE|drug
1-{[(1E)-(3-HYDROXY-2-METHYL-5-{[(TRIHYDROXY-LAMBDA^5^-PHOSPHANYL)OXY]METHYL}PYRIDIN-4-YL)METHYLIDENE]AMINO}UNDECAN-2-ONE|drug
11-HETE|drug
"1,1'-HEXANE-1,6-DIYLBIS(1H-IMIDAZOLE)"|drug
"1-(1-HYDROXY-2,2,6,6-TETRAMETHYLPIPERIDIN-4-YL)PYRROLIDINE-2,5-DIONE"|drug
11-hydroxy-THC|drug
11-[(MERCAPTOCARBONYL)OXY]UNDECANOIC ACID|drug
11-MERCAPTOUNDECANOIC ACID|drug
"[1-(1-Methyl-4,5-Dioxo-Pent-2-Enylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester"|drug
"1-(1-methylethyl)-3-quinolin-6-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine"|drug
11-Nor-9-carboxy-THC (THC-COOH)|drug
11-Oxo-androsterone glucuronide|drug
1-(1-phenylcyclopentyl)methylamine|drug
